1	Dog Training
1	Cat Training
1	Pet Health
1	Vet,Dog Health
1	Puppy
1	Cat Breed
1	Veterinarian
1	Pet Behavior
1	Dog Breed
1	Cat Health
1	Cat News
1	Dog News
1	Animal Health
1	Kitten
2	Dog Health
2	Dog Food
2	Housetraining
3	Puppy
3	Dog Video
3	Dog Vet
3	Canine
4	Senior Dog
4	Rescue Dog
4	Dog Breed
4	Dog Guide
5	Adopt Dog
5	Adult Dog
5	Choosing a Dog
6	Shelter Dog
6	Labrador
6	adopt a dog
7	adopt a cat
7	cat
7	breeder
7	shelter
8	dog
8	rescue
8	Pet Rescue
8	Pets Paradise
9	cornish rex
9	Shitzu
9	border collie
9	staffy
10	beagle
10	cavalier
10	cavoodle
\.


